Time,GeoType,GeoID,GeoRank,Geography,Percent
2017,NTA2010,6140,8,Upper East Side-Carnegie Hill,17.5
2017,NTA2010,6150,8,Stuyvesant Town-Cooper Village,42.0
2017,NTA2010,8101,8,South Jamaica,31.2
2017,NTA2010,8102,8,Springfield Gardens North,41.0
2017,NTA2010,8103,8,Springfield Gardens South-Brookville,34.7
2017,NTA2010,8105,8,Rosedale,50.9
2017,NTA2010,8106,8,Jamaica Estates-Holliswood,51.9
2017,NTA2010,8107,8,Hollis,34.1
2017,NTA2010,8108,8,St. Albans,38.3
2017,NTA2010,8110,8,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,30.8
2017,NTA2010,8112,8,Hammels-Arverne-Edgemere,35.8
2017,NTA2010,8115,8,Far Rockaway-Bayswater,36.8
2017,NTA2010,8117,8,Forest Hills,35.2
2017,NTA2010,8118,8,Rego Park,28.3
2017,NTA2010,8119,8,Glendale,23.4
2017,NTA2010,8120,8,Ridgewood,27.8
2017,NTA2010,8121,8,Middle Village,44.4
2017,NTA2010,8122,8,Flushing,22.2
2017,NTA2010,8123,8,College Point,28.4
2017,NTA2010,8125,8,Corona,16.4
2017,NTA2010,8126,8,North Corona,16.6
2017,NTA2010,8127,8,East Elmhurst,27.0
2017,NTA2010,8128,8,Jackson Heights,24.8
2017,NTA2010,8129,8,Elmhurst,19.8
2017,NTA2010,8130,8,Maspeth,18.6
2017,NTA2010,8131,8,Hunters Point-Sunnyside-West Maspeth,14.5
2017,NTA2010,8133,8,Cambria Heights,39.2
2017,NTA2010,8134,8,Queens Village,32.3
2017,NTA2010,8135,8,Briarwood-Jamaica Hills,31.0
2017,NTA2010,8137,8,Kew Gardens Hills,39.7
2017,NTA2010,8138,8,Pomonok-Flushing Heights-Hillcrest,37.3
2017,NTA2010,8141,8,Fresh Meadows-Utopia,47.6
2017,NTA2010,8142,8,Oakland Gardens,50.9
2017,NTA2010,8143,8,Bellerose,47.3
2017,NTA2010,8144,8,Glen Oaks-Floral Park-New Hyde Park,48.2
2017,NTA2010,8145,8,Douglas Manor-Douglaston-Little Neck,55.6
2017,NTA2010,8146,8,Bayside-Bayside Hills,42.7
2017,NTA2010,8147,8,Ft. Totten-Bay Terrace-Clearview,50.1
2017,NTA2010,8148,8,Auburndale,38.3
2017,NTA2010,8149,8,Whitestone,38.0
2017,NTA2010,8150,8,Elmhurst-Maspeth,21.2
2017,NTA2010,8151,8,Murray Hill,38.5
2017,NTA2010,8152,8,East Flushing,38.6
2017,NTA2010,8153,8,Woodhaven,22.5
2017,NTA2010,8154,8,Richmond Hill,19.4
2017,NTA2010,8155,8,South Ozone Park,24.5
2017,NTA2010,8156,8,Ozone Park,27.8
2017,NTA2010,8157,8,Lindenwood-Howard Beach,43.2
2017,NTA2010,8160,8,Kew Gardens,45.8
2017,NTA2010,8161,8,Jamaica,15.0
2017,NTA2010,8162,8,Queensboro Hill,40.2
2017,NTA2010,8163,8,Woodside,20.3
2017,NTA2010,8166,8,Laurelton,36.0
2017,NTA2010,8168,8,Queensbridge-Ravenswood-Long Island City,18.9
2017,NTA2010,8170,8,Astoria,18.0
2017,NTA2010,8171,8,Old Astoria,20.7
2017,NTA2010,8172,8,Steinway,22.4
2017,NTA2010,8176,8,Baisley Park,35.5
2017,NTA2010,8501,8,Annadale-Huguenot-Prince's Bay-Eltingville,64.1
2017,NTA2010,8505,8,New Springville-Bloomfield-Travis,62.4
2017,NTA2010,8507,8,Westerleigh,50.7
2017,NTA2010,8508,8,Grymes Hill-Clifton-Fox Hills,45.7
2017,NTA2010,8511,8,Charleston-Richmond Valley-Tottenville,60.1
2017,NTA2010,8512,8,Mariner's Harbor-Arlington-Port Ivory-Graniteville,44.1
2017,NTA2010,8514,8,Grasmere-Arrochar-Ft. Wadsworth,51.8
2017,NTA2010,8522,8,West New Brighton-New Brighton-St. George,44.2
2017,NTA2010,8524,8,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,70.2
2017,NTA2010,8525,8,Oakwood-Oakwood Beach,51.9
2017,NTA2010,8528,8,Port Richmond,36.4
2017,NTA2010,8532,8,Rossville-Woodrow,56.6
2017,NTA2010,8535,8,New Brighton-Silver Lake,47.0
2017,NTA2010,8536,8,Old Town-Dongan Hills-South Beach,44.3
2017,NTA2010,8537,8,Stapleton-Rosebank,53.6
2017,NTA2010,8545,8,New Dorp-Midland Beach,43.1
2017,NTA2010,8548,8,Arden Heights,54.0
2017,NTA2010,8554,8,Great Kills,48.6
2017,CD,101,6,Financial District (CD1),21.9
2017,CD,102,6,Greenwich Village and Soho (CD2),15.3
2017,CD,103,6,Lower East Side and Chinatown (CD3),25.9
2017,CD,104,6,Clinton and Chelsea (CD4),12.8
2017,CD,105,6,Midtown (CD5),4.7
2017,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),20.8
2017,CD,107,6,Upper West Side (CD7),28.9
2017,CD,108,6,Upper East Side (CD8),21.7
2017,CD,109,6,Morningside Heights and Hamilton Heights (CD9),32.4
2017,CD,110,6,Central Harlem (CD10),24.3
2017,CD,111,6,East Harlem (CD11),32.6
2017,CD,112,6,Washington Heights and Inwood (CD12),37.7
2017,CD,201,6,Mott Haven and Melrose (CD1),19.8
2017,CD,202,6,Hunts Point and Longwood (CD2),13.5
2017,CD,203,6,Morrisania and Crotona (CD3),30.1
2017,CD,204,6,Highbridge and Concourse (CD4),22.2
2017,CD,205,6,Fordham and University Heights (CD5),20.3
2017,CD,206,6,Belmont and East Tremont (CD6),21.8
2017,CD,207,6,Kingsbridge Heights and Bedford (CD7),24.7
2017,CD,208,6,Riverdale and Fieldston (CD8),48.9
2017,CD,209,6,Parkchester and Soundview (CD9),32.0
2017,CD,210,6,Throgs Neck and Co-op City (CD10),39.0
2017,CD,211,6,Morris Park and Bronxdale (CD11),29.7
2017,CD,212,6,Williamsbridge and Baychester (CD12),38.5
2017,CD,301,6,Greenpoint and Williamsburg (CD1),13.9
2017,CD,302,6,Fort Greene and Brooklyn Heights (CD2),24.6
2017,CD,303,6,Bedford Stuyvesant (CD3),25.1
2017,CD,304,6,Bushwick (CD4),25.4
2017,CD,305,6,East New York and Starrett City (CD5),28.3
2017,CD,306,6,Park Slope and Carroll Gardens (CD6),20.8
2017,CD,307,6,Sunset Park (CD7),29.4
2017,CD,308,6,Crown Heights and Prospect Heights (CD8),24.6
2017,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),21.5
2017,CD,310,6,Bay Ridge and Dyker Heights (CD10),32.3
2017,CD,311,6,Bensonhurst (CD11),15.6
2017,CD,312,6,Borough Park (CD12),23.9
2017,CD,313,6,Coney Island (CD13),22.8
2017,CD,314,6,Flatbush and Midwood (CD14),29.3
2017,CD,315,6,Sheepshead Bay (CD15),23.4
2017,CD,316,6,Brownsville (CD16),23.1
2017,CD,317,6,East Flatbush (CD17),22.0
2017,CD,318,6,Flatlands and Canarsie (CD18),34.9
2017,CD,401,6,Long Island City and Astoria (CD1),23.2
2017,CD,402,6,Woodside and Sunnyside (CD2),23.4
2017,CD,403,6,Jackson Heights (CD3),24.3
2017,CD,404,6,Elmhurst and Corona (CD4),18.3
2017,CD,405,6,Ridgewood and Maspeth (CD5),38.2
2017,CD,406,6,Rego Park and Forest Hills (CD6),34.5
2017,CD,407,6,Flushing and Whitestone (CD7),38.1
2017,CD,408,6,Hillcrest and Fresh Meadows (CD8),48.4
2017,CD,409,6,Kew Gardens and Woodhaven (CD9),24.8
2017,CD,410,6,South Ozone Park and Howard Beach (CD10),31.4
2017,CD,411,6,Bayside and Little Neck (CD11),51.6
2017,CD,412,6,Jamaica and Hollis (CD12),32.5
2017,CD,413,6,Queens Village (CD13),42.1
